Team,Name,Position,Class,Height,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Bailee Earnhardt,DS,Sr.,5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Anna Smith,L,Jr.,5-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Kibi Huggins,MB,Gr.,5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Jalyn  Stout,S,Jr.,5-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Ava Wallis,S,Jr.,5-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Elin Andersson,OH,Fr.,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Anna Rita,MB,Jr.,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Emma Van Elslande,OH,Jr.,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Leah Olsen,MB,Sr.,6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Julia Rivera,OH,Fr.,5-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Emily Fowler,MB,Jr.,6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Isabella Loeswick,S,Fr.,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Anzley Rinard,OH,So.,6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Kayla Channell,MB,Fr.,6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coastal Carolina University,Becca Micelle,L,Gr.,5-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Gracie Campbell ,OH ,Jr. ,5-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Haley Mullaney ,S ,Jr. ,5-9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Jordyn Wacaster ,DS/L ,Fr. ,5-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Semaj Cox ,DS/L ,So. ,5-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,MJ Klaumann ,OH/RS ,Gr. ,6-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Jade Washington ,DS/L ,Fr. ,5-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Courtney Green ,OH ,Sr. ,6-0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Katelyn Pritchard ,S ,Fr. ,5-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Peyton Roper ,OH ,Sr. ,5-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Kylie Bray ,DS/L ,Jr. ,5-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Brooke Box ,MB ,Jr. ,6-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Giana Brown ,MB ,Fr. ,6-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Savannah Jennings ,S ,Jr. ,5-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Rendi Fetty ,OH ,So. ,5-9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Nevaeh Smith ,RS/MB ,So. ,6-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Texas A&M University,Zoe Ruskofsky ,OH ,Jr. ,5-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Kacie Moore ,MB ,Fr. ,6-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Kennedy Seekford ,L/DS ,Jr. ,5-6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Hayley Dionis ,L/DS ,So. ,5-4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Grainne McGrath ,MB ,Sr. ,6-0 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Izzy Castelloe ,MB ,Jr. ,6-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Brooke Scheffler ,OPP/OH ,Jr. ,5-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Emily Navarro ,S ,Jr. ,5-10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Campbell Woods ,OPP ,So. ,6-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Eva Wheeler ,S ,Sr. ,5-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Quinn Morrissey ,S ,So. ,5-11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Ashley Stein ,OH ,So. ,6-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Ashtan Dodson ,OH ,Fr. ,5-9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Furman University,Rebekah Buchholz ,MB ,So. ,6-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
